"DSSTox_RID","DSSTox_CID","DSSTox_Generic_SID","DSSTox_FileID","STRUCTURE_Formula","STRUCTURE_MolecularWeight","STRUCTURE_ChemicalType","STRUCTURE_TestedForm_DefinedOrganic","STRUCTURE_Shown","TestSubstance_ChemicalName","TestSubstance_CASRN","TestSubstance_Description","ChemicalNote","STRUCTURE_ChemicalName_IUPAC","STRUCTURE_SMILES","STRUCTURE_Parent_SMILES","STRUCTURE_InChI","STRUCTURE_InChIKey","StudyType","Endpoint","Species","ActivityOutcome_CPDBAS_Mutagenicity","TD50_Rat_mg","TD50_Rat_mmol","ActivityScore_CPDBAS_Rat","TD50_Rat_Note","TargetSites_Rat_Male","TargetSites_Rat_Female","TargetSites_Rat_BothSexes","ActivityOutcome_CPDBAS_Rat","TD50_Mouse_mg","TD50_Mouse_mmol","ActivityScore_CPDBAS_Mouse","TD50_Mouse_Note","TargetSites_Mouse_Male","TargetSites_Mouse_Female","TargetSites_Mouse_BothSexes","ActivityOutcome_CPDBAS_Mouse","TD50_Hamster_mg","TD50_Hamster_mmol","ActivityScore_CPDBAS_Hamster","TD50_Hamster_Note","TargetSites_Hamster_Male","TargetSites_Hamster_Female","TargetSites_Hamster_BothSexes","ActivityOutcome_CPDBAS_Hamster","TD50_Dog_mg","TargetSites_Dog","TD50_Rhesus_mg","TargetSites_Rhesus","TD50_Cynomolgus_mg","TargetSites_Cynomolgus","TD50_Dog_Primates_Note","ActivityOutcome_CPDBAS_Dog_Primates","ActivityOutcome_CPDBAS_SingleCellCall","ActivityOutcome_CPDBAS_MultiCellCall","ActivityOutcome_CPDBAS_MultiCellCall_Details","Note_CPDBAS","NTP_TechnicalReport","ChemicalPage_URL"
21269,1269,21269,"1329_CPDBAS_v5d","CHNaO3",84.0066,"defined organic","salt Na","tested chemical","Sodium bicarbonate","144-55-8","single chemical compound","parent [298-14-6]","sodium hydrogen carbonate","C(O)(=O)[O-].[Na+]","C(O)(=O)O","InChI=1/CH2O3.Na/c2-1(3)4;/h(H2,2,3,4);/q;+1/p-1/fCHO3.Na/h2H;/q-1;m","UIIMBOGNXHQVGW-PAJBJYNQCH","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse",,,,0,"no positive results","no positive results",,,"inactive",,,0,"no positive results","no positive results",,,"inactive",,,,,,,,,,,,,,,,,"inactive","inactive","multispecies inactive","Mouse added 3a",,"http://potency.berkeley.edu/chempages/SODIUM%20BICARBONATE.html"
21270,1270,21270,"1330_CPDBAS_v5d","C12H4Cl4Na2O2S",400.01394,"defined organic","salt 2Na","tested chemical","Sodium bithionolate","6385-58-6","single chemical compound","parent [97-18-7 ]","disodium 2,2'-thiobis(4,6-dichlorophenolate)","C1(SC2=C(C(=CC(=C2)Cl)Cl)[O-])(=C(C(=CC(=C1)Cl)Cl)[O-]).[Na+].[Na+]","C1(SC2=C(C(=CC(=C2)Cl)Cl)O)(=C(C(=CC(=C1)Cl)Cl)O)","InChI=1/C12H6Cl4O2S.2Na/c13-5-1-7(15)11(17)9(3-5)19-10-4-6(14)2-8(16)12(10)18;;/h1-4,17-18H;;/q;2*+1/p-2/fC12H4Cl4O2S.2Na/h17-18h;;/q-2;2m","FNYZFZRGBBCWBI-FOAITICJCV","Carcinogenicity","TD50; Tumor Target Sites","mouse",,,,,,,,,,,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive",,,"http://potency.berkeley.edu/chempages/SODIUM%20BITHIONOLATE.html"
21271,1271,21271,"1331_CPDBAS_v5d","ClNa",58.4428,"inorganic",,"tested chemical","Sodium chloride","7647-14-5","single chemical compound",,"sodium chloride",".[Na+].[Cl-]",,"InChI=1/ClH.Na/h1H;/q;+1/p-1/fCl.Na/h1h;/q-1;m","FAPWRFPIFSIZLT-ZKGBBZBBCO","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","inactive",,,0,"no positive results","no positive results",,,"inactive",,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive; multispecies inactive",,,"http://potency.berkeley.edu/chempages/SODIUM%20CHLORIDE.html"
21272,1272,21272,"1332_CPDBAS_v5d","ClNaO2",90.4416,"inorganic",,"tested chemical","Sodium chlorite","7758-19-2","single chemical compound",,"sodium chlorite","[Na+].[O-]Cl=O",,"InChI=1/ClHO2.Na/c2-1-3;/h(H,2,3);/q;+1/p-1/fClO2.Na/q-1;m","UKLNMMHNWFDKNT-BKDNDNRCCJ","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse",,,,0,"no positive results","no positive results","no positive results",,"inactive",,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive; multispecies inactive",,,"http://potency.berkeley.edu/chempages/SODIUM%20CHLORITE.html"
21273,1273,21273,"1333_CPDBAS_v5d","C34H31CuN4Na3O6",724.1484,"organometallic",,"tested chemical","Sodium copper chlorophyllin","28302-36-5","single chemical compound","stereochem","copper(2+) trisodium (2S,3S)-2-(2-carboxylatoethyl)-20-(carboxylatomethyl)-8-ethenyl-13-ethyl-3,7,12,17-tetramethyl-2H,3H-porphine-22,23-diide-18-carboxylate","O=C([O-])C(C(/C(CC([O-])=O)=C([C@@H](CCC([O-])=O)[C@@H]5C)\N=C5/C=C4\[N-]\C(C(C=C)=C4C)=C3)=N2)=C(C)/C2=C/C1=C(CC)C(C)=C/3[N-]1.[Na+].[Na+].[Na+].[Cu+2]",,"InChI=1/C34H36N4O6.Cu.3Na/c1-7-19-15(3)23-12-25-17(5)21(9-10-29(39)40)32(37-25)22(11-30(41)42)33-31(34(43)44)18(6)26(38-33)14-28-20(8-2)16(4)24(36-28)13-27(19)35-23;;;;/h7,12-14,17,21H,1,8-11H2,2-6H3,(H5,35,36,37,38,39,40,41,42,43,44);;;;/q;+2;3*+1/p-5/t17-,21-;;;;/m0..../s1/fC34H31N4O6.Cu.3Na/q-5;4m/b23-12-,24-13-,25-12-,26-14-,27-13-,28-14-,32-22-,33-22-;;;;","HWDGVJUIHRPKFR-PPZADFCXDN","Carcinogenicity","TD50; Tumor Target Sites","rat",,,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive","structure modified v5b",,"http://potency.berkeley.edu/chempages/SODIUM%20COPPER%20CHLOROPHYLLIN.html"
21275,1275,21275,"1334_CPDBAS_v5d","C5H16NNaO3S2-2",225.29607,"defined organic","salt Na complex 3H2O","tested chemical","Sodium diethyldithiocarbamate trihydrate","20624-25-3","single chemical compound","parent [147-84-2]","sodium diethyldithiocarbamate trihydrate","O.[Na+].O.O.CCN(CC)C([S-])=S","CCN(CC)C(S)=S","InChI=1/C5H11NS2.Na.3H2O/c1-3-6(4-2)5(7)8;;;;/h3-4H2,1-2H3,(H,7,8);;3*1H2/q;+1;;;/p-1/fC5H10NS2.Na.3H2O/q-1;m;;;","WWGXHTXOZKVJDN-RWZWJBDKCJ","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","inactive",,,0,"no positive results","no positive results","no positive results",,"inactive",,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive; multispecies inactive","TestSubstance_CASRN corresponds to CPDB Chemical name, not CPDB CASRN","TR 172","http://potency.berkeley.edu/chempages/SODIUM%20DIETHYLDITHIOCARBAMATE%20TRIHYDRATE.html"
21276,1276,21276,"1335_CPDBAS_v5d","ClNaO",74.4422,"inorganic",,"tested chemical","Sodium hypochlorite","7681-52-9","single chemical compound",,"sodium hypochlorite","Cl[O-].[Na+]",,"InChI=1/ClO.Na/c1-2;/q-1;+1","SUKJFIGYRHOWBL-UHFFFAOYAD","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","inactive",,,0,"no positive results","no positive results","no positive results",,"inactive",,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive; multispecies inactive",,,"http://potency.berkeley.edu/chempages/SODIUM%20HYPOCHLORITE.html"
40827,20244,40244,"1336_CPDBAS_v5d","NaO3P",101.9617,"inorganic",,"tested chemical","Sodium metaphosphate","10361-03-2","single chemical compound",,"sodium metaphosphate","[O-]P(=O)=O.[Na+]",,"InChI=1/Na.HO3P/c;1-4(2)3/h;(H,1,2,3)/q+1;/p-1/fNa.O3P/qm;-1","AQMNWCRSESPIJM-LMADOQLJCP","Carcinogenicity","TD50; Tumor Target Sites","rat",,,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive","Rat added v5a; chemical added v5a",,"http://potency.berkeley.edu/chempages/SODIUM%20METAPHOSPHATE.html"
21277,1277,21277,"1337_CPDBAS_v5d","C6H8O2",112.1265,"defined organic","parent ","tested chemical","Sorbic acid","110-44-1","single chemical compound","stereochem","(2E,4E)-hexa-2,4-dienoic acid","OC(=O)C=CC=CC","OC(=O)C=CC=CC","InChI=1/C6H8O2/c1-2-3-4-5-6(7)8/h2-5H,1H3,(H,7,8)/b3-2+,5-4+/f/h7H","WSWCOQWTEOXDQX-XCVGFYGJDI","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","inactive",,,0,"no positive results","no positive results","no positive results",,"inactive",,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive; multispecies inactive","Mutagenicity_SAL_CPDB added v3a",,"http://potency.berkeley.edu/chempages/SORBIC%20ACID.html"
21278,1278,21278,"1338_CPDBAS_v5d","C12H21ClN2O3S",308.8225,"defined organic","complex HCl","tested chemical","Sotalol.HCl","959-24-0","single chemical compound","parent [3930-20-9]","N-(4-{1-hydroxy-2-[(1-methylethyl)amino]ethyl}phenyl)methanesulfonamide hydrochloride","OC(CNC(C)C)C1=CC=C(NS(=O)(C)=O)C=C1.[H]Cl","OC(CNC(C)C)C1=CC=C(NS(=O)(C)=O)C=C1","InChI=1/C12H20N2O3S.ClH/c1-9(2)13-8-12(15)10-4-6-11(7-5-10)14-18(3,16)17;/h4-7,9,12-15H,8H2,1-3H3;1H","VIDRYROWYFWGSY-UHFFFAOYAS","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse",,,,0,"no positive results","no positive results","no positive results",,"inactive",,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive; multispecies inactive",,,"http://potency.berkeley.edu/chempages/SOTALOL.HCl.html"
21279,,21279,"1339_CPDBAS_v5d",,,"no structure",,"no structure","Soybean lecithin","8002-43-5","mixture or formulation","complex combination of diglycerides of fatty acids linked to the choline ester of phosphoric acid",,,,"InChI=1//","MOSFIJXAXDLOML-UHFFFAOYAM","Carcinogenicity","TD50; Tumor Target Sites","rat",,,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive",,,"http://potency.berkeley.edu/chempages/SOYBEAN%20LECITHIN.html"
21280,1280,21280,"1340_CPDBAS_v5d","C18H12O6",324.2892,"defined organic","parent ","tested chemical","Sterigmatocystin","10048-13-2","single chemical compound",,"8-hydroxy-6-(methyloxy)-3a,12c-dihydro-7H-furo[3',2':4,5]furo[2,3-c]xanthen-7-one","O=C1C2=C(C=C3C(=C2OC4=CC=CC(=C14)O)C5C(O3)OC=C5)OC","O=C1C2=C(C=C3C(=C2OC4=CC=CC(=C14)O)C5C(O3)OC=C5)OC","InChI=1/C18H12O6/c1-21-11-7-12-13(8-5-6-22-18(8)24-12)17-15(11)16(20)14-9(19)3-2-4-10(14)23-17/h2-8,18-19H,1H3","UTSVPXMQSFGQTM-UHFFFAOYAZ","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse; cynomolgus","active",0.152,0.000469,60,"TD50 is harmonic mean of more than one positive test; greater than ten-fold variation among TD50 values for positive results","liver; vascular system",,"liver","active",0.908,0.0028,57,"TD50 is harmonic mean of more than one positive test",,"vascular system",,"active",,,,,,,,,,,,,0.127,"liver",,"active","active","active","multisite active; multisex active; multispecies active","TargetSites_Rat_BothSexes modified v5a",,"http://potency.berkeley.edu/chempages/STERIGMATOCYSTIN.html"
21281,1281,21281,"1341_CPDBAS_v5d","C38H60O18",804.8722,"defined organic","parent ","tested chemical","Stevioside","57817-89-7","single chemical compound","stereochem","1-O-{(5beta,8alpha,9beta,10alpha,13alpha)-13-[(2-O-beta-D-glucopyranosyl-beta-D-glucopyranosyl)oxy]-18-oxokaur-16-en-18-yl}-beta-D-glucopyranose","O=[C@](O[C@H](O[C@H](CO)[C@H]1O)[C@H](O)[C@H]1O)[C@@]5(C)[C@](CC3)([H])[C@](CCC5)(C)[C@@](CC4)([H])[C@@](C2)3C[C@]4(O[C@H]6[C@H](O[C@H]7[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O7)[C@@H](O)[C@H](O)[C@@H](CO)O6)[C@@]2=C","O=[C@](O[C@H](O[C@H](CO)[C@H]1O)[C@H](O)[C@H]1O)[C@@]5(C)[C@](CC3)([H])[C@](CCC5)(C)[C@@](CC4)([H])[C@@](C2)3C[C@]4(O[C@H]6[C@H](O[C@H]7[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O7)[C@@H](O)[C@H](O)[C@@H](CO)O6)[C@@]2=C","InChI=1/C38H60O18/c1-16-11-37-9-5-20-35(2,7-4-8-36(20,3)34(50)55-32-29(49)26(46)23(43)18(13-40)52-32)21(37)6-10-38(16,15-37)56-33-30(27(47)24(44)19(14-41)53-33)54-31-28(48)25(45)22(42)17(12-39)51-31/h17-33,39-49H,1,4-15H2,2-3H3/t17-,18-,19-,20+,21+,22-,23-,24-,25+,26+,27+,28-,29-,30-,31+,32+,33+,35-,36-,37-,38+/m1/s1","UEDUENGHJMELGK-HYDKPPNVBH","Carcinogenicity","TD50; Tumor Target Sites","rat",,,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive","Rat added v3a; chemical added v3a",,"http://potency.berkeley.edu/chempages/STEVIOSIDE.html"
40828,,26052,"1342_CPDBAS_v5d",,,"no structure",,"no structure","Stoddard solvent IIC","64742-88-7","mixture or formulation","refined petroleum distillate boiling point range 140-220 C",,,,"InChI=1//","MOSFIJXAXDLOML-UHFFFAOYAM","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","inactive",219,,50,"TD50_Rat_mmol was not calculated for this mixture, but Activiity Score is assigned value of ""50"" to indicate active","adrenal gland","no positive results",,"active",,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive; multispecies inactive","Rat added v5a; Mouse added v5a; Mutagenicity_SAL_CPDB added v5a; chemical added v5a",,"http://potency.berkeley.edu/chempages/STODDARD%20SOLVENT%20IIC.html"
21282,1282,21282,"1343_CPDBAS_v5d","C8H15N3O7",265.2206,"defined organic","parent ","tested chemical","Streptozotocin","18883-66-4","single chemical compound","stereochem","2-deoxy-2-({[methyl(nitroso)amino]carbonyl}amino)-alpha-D-glucopyranose","[C@@H]1(NC(N(N=O)C)=O)[C@H]([C@H](O)[C@H](O[C@@H]1O)CO)O","[C@@H]1(NC(N(N=O)C)=O)[C@H]([C@H](O)[C@H](O[C@@H]1O)CO)O","InChI=1/C8H15N3O7/c1-11(10-17)8(16)9-4-6(14)5(13)3(2-12)18-7(4)15/h3-7,12-15H,2H2,1H3,(H,9,16)/t3-,4-,5-,6-,7+/m1/s1/f/h9H","ZSJLQEPLLKMAKR-CQRXUCDYDU","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","active",0.963,0.00363,51,"positive test results only by intraperitoneal or intravenous injection; TD50 is harmonic mean of more than one positive test ","kidney","kidney",,"active",0.272,0.00103,62,"positive test results only by intraperitoneal or intravenous injection; TD50 is harmonic mean of more than one positive test","kidney; lung","kidney; lung",,"active",,,,,,,,,,,,,,,,,"active","active","multisite active; multisex active; multispecies active",,,"http://potency.berkeley.edu/chempages/STREPTOZOTOCIN.html"
21283,1283,21283,"1344_CPDBAS_v5d","C10H9Cl7",377.3521,"defined organic","parent ","tested chemical","Strobane","8001-50-1","single chemical compound","stereochem","(1S,4S)-1,2,2,3,3,4,7-heptachloro-5,5-dimethyl-6-methylidenebicyclo[2.2.1]heptane","Cl[C@@]1(C(C)2C)C(Cl)(Cl)C(Cl)([C@](Cl)(C2=C)C1Cl)Cl","Cl[C@@]1(C(C)2C)C(Cl)(Cl)C(Cl)([C@](Cl)(C2=C)C1Cl)Cl","InChI=1/C10H9Cl7/c1-4-6(2,3)8(13)5(11)7(4,12)9(14,15)10(8,16)17/h5H,1H2,2-3H3/t5?,7-,8-/m0/s1","HBQPGVWPSQGTJK-TWELXNIEBZ","Carcinogenicity","TD50; Tumor Target Sites","mouse",,,,,,,,,,0.884,0.00234,58,"TD50 is harmonic mean of more than one positive test","hematopoietic system; liver","no positive results",,"active",,,,,,,,,,,,,,,,,"active","active","multisite active",,,"http://potency.berkeley.edu/chempages/STROBANE.html"
21284,1284,21284,"1345_CPDBAS_v5d","C8H8",104.1491,"defined organic","parent ","tested chemical","Styrene","100-42-5","single chemical compound",,"styrene","C=CC1=CC=CC=C1","C=CC1=CC=CC=C1","InChI=1/C8H8/c1-2-8-6-4-3-5-7-8/h2-7H,1H2","PPBRXRYQALVLMV-UHFFFAOYAB","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","active",23.3,0.224,32,,"no positive results","mammary gland",,"active",210,2.02,25,"TD50 is harmonic mean of more than one positive test","lung","lung",,"active",,,,,,,,,,,,,,,,,"active","active","multisite active; multisex active; multispecies active","TD50_Mouse modified v5a; TargetSites_Mouse_Male modified v5a; TargetSites_Mouse_Female modified v5a","TR 185; final call in CPDB differs due to additional data","http://potency.berkeley.edu/chempages/STYRENE.html"
21285,1285,21285,"1346_CPDBAS_v5d","C8H7NO2",149.1467,"defined organic","parent ","representative component in mixture","Styrene and beta-nitrostyrene mixture","NOCAS","mixture or formulation","mixture of styrene [100-42-5] and beta-nitrostyrene [102-96-5] structure shown beta-nitrostyrene, stereochem","[(E)-2-nitroethenyl]benzene","[O-][N+](/C=C/C1=CC=CC=C1)=O","[O-][N+](/C=C/C1=CC=CC=C1)=O","InChI=1/C8H7NO2/c10-9(11)7-6-8-4-2-1-3-5-8/h1-7H/b7-6+","PIAOLBVUVDXHHL-VOTSOKGWBG","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse",,,,0,"no positive results","no positive results","no positive results",,"inactive",,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive; multispecies inactive",,"TR 170 ","http://potency.berkeley.edu/chempages/STYRENE%20AND%20beta-NITROSTYRENE%20MIXTURE.html"
21286,1286,21286,"1347_CPDBAS_v5d","C8H8O",120.1485,"defined organic","parent ","tested chemical","Styrene oxide","96-09-3","single chemical compound",,"2-phenyloxirane","C1C(C2=CC=CC=C2)O1","C1C(C2=CC=CC=C2)O1","InChI=1/C8H8O/c1-2-4-7(5-3-1)8-6-9-8/h1-5,8H,6H2","AWMVMTVKBNGEAK-UHFFFAOYAM","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","active",55.4,0.461,29,"TD50 is harmonic mean of more than one positive test","stomach","stomach",,"active",118,0.982,28,"TD50 is harmonic mean of more than one positive test","stomach","stomach",,"active",,,,,,,,,,,,,,,,,"active","active","multisex active; multispecies active",,,"http://potency.berkeley.edu/chempages/STYRENE%20OXIDE.html"
21287,1287,21287,"1348_CPDBAS_v5d","C4H4O3",100.0728,"defined organic","parent ","tested chemical","Succinic anhydride","108-30-5","single chemical compound",,"dihydrofuran-2,5-dione","O=C1OC(=O)CC1","O=C1OC(=O)CC1","InChI=1/C4H4O3/c5-3-1-2-4(6)7-3/h1-2H2","RINCXYDBBGOEEQ-UHFFFAOYAN","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","inactive",,,0,"no positive results","no positive results","no positive results",,"inactive",,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive; multispecies inactive",,"TR 373","http://potency.berkeley.edu/chempages/SUCCINIC%20ANHYDRIDE.html"
40829,20245,40245,"1349_CPDBAS_v5d","C12H18Cl3O8",397.6335,"defined organic","parent","tested chemical","Sucralose","56038-13-2","single chemical compound","stereochem","1,6-dichloro-1,6-dideoxy-beta-D-fructofuranosyl 4-chloro-4-deoxy-alpha-D-galactopyranoside","O[C@@H]1[C@@](O[C@@H](O[C@H](CO)[C@@H]2Cl)[C@H](O)[C@H]2O)(CCl)O[C@H](CCl)[C@H]1O","O[C@@H]1[C@@](O[C@@H](O[C@H](CO)[C@@H]2Cl)[C@H](O)[C@H]2O)(CCl)O[C@H](CCl)[C@H]1O","InChI=1/C12H19Cl3O8/c13-1-4-7(17)10(20)12(3-14,22-4)23-11-9(19)8(18)6(15)5(2-16)21-11/h4-11,16-20H,1-3H2/t4-,5-,6+,7-,8+,9-,10+,11-,12+/m1/s1","BAQAVOSOZGMPRM-QBMZZYIRBF","Carcinogenicity","TD50; Tumor Target Sites","mouse",,,,,,,,,,,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive","Mouse added v5a; chemical added v5a",,"http://potency.berkeley.edu/chempages/SUCRALOSE.html"
21288,1288,21288,"1350_CPDBAS_v5d","C12H22O11",342.2965,"defined organic","parent ","tested chemical","Sucrose","57-50-1","single chemical compound","stereochem","beta-D-fructofuranosyl alpha-D-glucopyranoside","O[C@H]1[C@H](O[C@H](CO)[C@@H](O)[C@@H]1O)O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O","O[C@H]1[C@H](O[C@H](CO)[C@@H](O)[C@@H]1O)O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O","InChI=1/C12H22O11/c13-1-4-6(16)8(18)9(19)11(21-4)23-12(3-15)10(20)7(17)5(2-14)22-12/h4-11,13-20H,1-3H2/t4-,5-,6-,7-,8+,9-,10+,11-,12+/m1/s1","CZMRCDWAGMRECN-UGDNZRGBBE","Carcinogenicity","TD50; Tumor Target Sites","mouse","inactive",,,,,,,,,,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive",,,"http://potency.berkeley.edu/chempages/SUCROSE.html"
40830,7035,27035,"1351_CPDBAS_v5d","C40H62O19",846.9089,"defined organic","parent","tested chemical","Sucrose acetate isobutyrate","126-13-6","single chemical compound","stereochem","1-O-acetyl-3,4,6-tris-O-(2-methylpropanoyl)-beta-D-fructofuranosyl 6-O-acetyl-2,3,4-tris-O-(2-methylpropanoyl)-alpha-D-glucopyranoside","O=C(O[C@@H]1[C@@](O[C@@H](O[C@H](COC(C)=O)[C@H]2OC(C(C)C)=O)[C@H](OC(C(C)C)=O)[C@H]2OC(C(C)C)=O)(COC(C)=O)O[C@H](COC(C(C)C)=O)[C@H]1OC(C(C)C)=O)C(C)C","O=C(O[C@@H]1[C@@](O[C@@H](O[C@H](COC(C)=O)[C@H]2OC(C(C)C)=O)[C@H](OC(C(C)C)=O)[C@H]2OC(C(C)C)=O)(COC(C)=O)O[C@H](COC(C(C)C)=O)[C@H]1OC(C(C)C)=O)C(C)C","InChI=1/C40H62O19/c1-18(2)33(43)50-16-27-29(54-35(45)20(5)6)32(57-38(48)23(11)12)40(58-27,17-51-25(14)42)59-39-31(56-37(47)22(9)10)30(55-36(46)21(7)8)28(53-34(44)19(3)4)26(52-39)15-49-24(13)41/h18-23,26-32,39H,15-17H2,1-14H3/t26-,27-,28-,29-,30+,31-,32+,39-,40+/m1/s1","UVGUPMLLGBCFEJ-SWTLDUCYBE","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse",,,,0,"no positive results","no positive results","no positive results",,"inactive",,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive; multispecies inactive","Rat added v5a; Mouse added v5a; chemical added v5a",,"http://potency.berkeley.edu/chempages/SUCROSE%20ACETATE%20ISOBUTYRATE.html"
21289,1289,21289,"1352_CPDBAS_v5d","C8H14ClNS2",223.7865,"defined organic","parent ","tested chemical","Sulfallate","95-06-7","single chemical compound",,"2-chloroprop-2-en-1-yl diethyldithiocarbamate","S=C(N(CC)CC)SCC(=C)Cl","S=C(N(CC)CC)SCC(=C)Cl","InChI=1/C8H14ClNS2/c1-4-10(5-2)8(11)12-6-7(3)9/h3-6H2,1-2H3","XJCLWVXTCRQIDI-UHFFFAOYAD","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","active",26.1,0.117,35,"TD50 is harmonic mean of more than one positive test","stomach","mammary gland",,"active",42.2,0.189,36,"TD50 is harmonic mean of more than one positive test","lung","mammary gland",,"active",,,,,,,,,,,,,,,,,"active","active","multisite active; multisex active; multispecies active",,"TR 115 ","http://potency.berkeley.edu/chempages/SULFALLATE.html"
21290,1290,21290,"1353_CPDBAS_v5d","C12H14N4O2S",278.3302,"defined organic","parent ","tested chemical","Sulfamethazine","57-68-1","single chemical compound",,"4-amino-N-(4,6-dimethylpyrimidin-2-yl)benzenesulfonamide","O=S(=O)(C1=CC=C(C=C1)N)NC2=NC(=CC(=N2)C)C","O=S(=O)(C1=CC=C(C=C1)N)NC2=NC(=CC(=N2)C)C","InChI=1/C12H14N4O2S/c1-8-7-9(2)15-12(14-8)16-19(17,18)11-5-3-10(13)4-6-11/h3-7H,13H2,1-2H3,(H,14,15,16)/f/h16H","ASWVTGNCAZCNNR-WYUMXYHSCK","Carcinogenicity","TD50; Tumor Target Sites","mouse","inactive",,,,,,,,,1510,5.43,20,"TD50 is harmonic mean of more than one positive test","thyroid gland","thyroid gland",,"active",,,,,,,,,,,,,,,,,"active","active","multisex active",,,"http://potency.berkeley.edu/chempages/SULFAMETHAZINE.html"
21291,1291,21291,"1354_CPDBAS_v5d","Na2O4S",142.0421,"inorganic",,"tested chemical","Sulfate, sodium","7757-82-6","single chemical compound",,"disodium sulfate","O=S(=O)([O-])[O-].[Na+].[Na+]",,"InChI=1/2Na.H2O4S/c;;1-5(2,3)4/h;;(H2,1,2,3,4)/q2*+1;/p-2/f2Na.O4S/q2m;-2","PMZURENOXWZQFD-TWTSEUFECI","Carcinogenicity","TD50; Tumor Target Sites","mouse",,,,,,,,,,,,0,"no positive results",,"no positive results",,"inactive",,,,,,,,,,,,,,,,,"inactive",,,,,"http://potency.berkeley.edu/chempages/SULFATE,%20SODIUM.html"
21292,1292,21292,"1355_CPDBAS_v5d","C11H13N3O3S",267.3042,"defined organic","parent ","tested chemical","Sulfisoxazole","127-69-5","single chemical compound",,"4-amino-N-(3,4-dimethylisoxazol-5-yl)benzenesulfonamide","C2=C(N)C=CC(S(=O)(=O)NC1ON=C(C)C=1C)=C2","C2=C(N)C=CC(S(=O)(=O)NC1ON=C(C)C=1C)=C2","InChI=1/C11H13N3O3S/c1-7-8(2)13-17-11(7)14-18(15,16)10-5-3-9(12)4-6-10/h3-6,14H,12H2,1-2H3","NHUHCSRWZMLRLA-UHFFFAOYAP","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","inactive",,,0,"no positive results","no positive results","no positive results",,"inactive",,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive; multispecies inactive",,"TR 138","http://potency.berkeley.edu/chempages/SULFISOXAZOLE.html"
